cec_0_5_Q0.5,cec_0_5_mean,cec_5_15_Q0.5,cec_5_15_mean,cec_15_30_Q0.5,cec_15_30_mean,cec_30_60_Q0.5,cec_30_60_mean,cec_60_100_Q0.5,cec_60_100_mean,cec_100_200_Q0.5,cec_100_200_mean,cfvo_0_5_Q0.5,cfvo_0_5_mean,cfvo_5_15_Q0.5,cfvo_5_15_mean,cfvo_15_30_Q0.5,cfvo_15_30_mean,cfvo_30_60_Q0.5,cfvo_30_60_mean,cfvo_60_100_Q0.5,cfvo_60_100_mean,cfvo_100_200_Q0.5,cfvo_100_200_mean,clay_0_5_Q0.5,clay_0_5_mean,clay_5_15_Q0.5,clay_5_15_mean,clay_15_30_Q0.5,clay_15_30_mean,clay_30_60_Q0.5,clay_30_60_mean,clay_60_100_Q0.5,clay_60_100_mean,clay_100_200_Q0.5,clay_100_200_mean,ocd_0_5_Q0.5,ocd_0_5_mean,ocd_5_15_Q0.5,ocd_5_15_mean,ocd_15_30_Q0.5,ocd_15_30_mean,ocd_30_60_Q0.5,ocd_30_60_mean,ocd_60_100_Q0.5,ocd_60_100_mean,ocd_100_200_Q0.5,ocd_100_200_mean,phh2o_0_5_Q0.5,phh2o_0_5_mean,phh2o_5_15_Q0.5,phh2o_5_15_mean,phh2o_15_30_Q0.5,phh2o_15_30_mean,phh2o_30_60_Q0.5,phh2o_30_60_mean,phh2o_60_100_Q0.5,phh2o_60_100_mean,phh2o_100_200_Q0.5,phh2o_100_200_mean,sand_0_5_Q0.5,sand_0_5_mean,sand_5_15_Q0.5,sand_5_15_mean,sand_15_30_Q0.5,sand_15_30_mean,sand_30_60_Q0.5,sand_30_60_mean,sand_60_100_Q0.5,sand_60_100_mean,sand_100_200_Q0.5,sand_100_200_mean,silt_0_5_Q0.5,silt_0_5_mean,silt_5_15_Q0.5,silt_5_15_mean,silt_15_30_Q0.5,silt_15_30_mean,silt_30_60_Q0.5,silt_30_60_mean,silt_60_100_Q0.5,silt_60_100_mean,silt_100_200_Q0.5,silt_100_200_mean,soc_0_5_Q0.5,soc_0_5_mean,soc_5_15_Q0.5,soc_5_15_mean,soc_15_30_Q0.5,soc_15_30_mean,soc_30_60_Q0.5,soc_30_60_mean,soc_60_100_Q0.5,soc_60_100_mean,soc_100_200_Q0.5,soc_100_200_mean,wv0010_0_5_Q0.5,wv0010_0_5_mean,wv0010_5_15_Q0.5,wv0010_5_15_mean,wv0010_15_30_Q0.5,wv0010_15_30_mean,wv0010_30_60_Q0.5,wv0010_30_60_mean,wv0010_60_100_Q0.5,wv0010_60_100_mean,wv0010_100_200_Q0.5,wv0010_100_200_mean,wv0033_0_5_Q0.5,wv0033_0_5_mean,wv0033_5_15_Q0.5,wv0033_5_15_mean,wv0033_15_30_Q0.5,wv0033_15_30_mean,wv0033_30_60_Q0.5,wv0033_30_60_mean,wv0033_60_100_Q0.5,wv0033_60_100_mean,wv0033_100_200_Q0.5,wv0033_100_200_mean,wv1500_0_5_Q0.5,wv1500_0_5_mean,wv1500_5_15_Q0.5,wv1500_5_15_mean,wv1500_15_30_Q0.5,wv1500_15_30_mean,wv1500_30_60_Q0.5,wv1500_30_60_mean,wv1500_60_100_Q0.5,wv1500_60_100_mean,wv1500_100_200_Q0.5,wv1500_100_200_mean,clay_gradient,ph_gradient,soc_depth_weighted,cec_depth_weighted,sand_depth_weighted,sand_clay_ratio,soc_cec_balance,water_capacity,cec_variability,soil_type
22.8,29.0,18.0,24.6,18.0,24.7,16.6,24.7,16.0,24.2,15.8,23.1,7.0,12.9,9.0,14.7,10.0,15.5,10.0,21.7,11.0,25.2,15.0,27.4,18.1,24.1,19.7,26.2,23.7,29.5,23.8,29.9,24.0,30.4,25.1,30.3,36.0,42.4,18.2,22.0,14.3,15.5,6.8,8.4,4.3,5.0,2.7,4.8,5.1,5.4,5.1,5.4,5.2,5.5,5.5,5.7,6.0,6.0,6.3,6.3,21.5,25.4,19.8,23.5,19.5,23.9,17.9,23.3,18.1,23.5,19.8,24.2,54.0,50.5,53.9,50.3,50.6,46.6,49.7,46.8,47.7,46.1,47.7,45.5,34.7,54.5,17.6,24.1,8.1,11.8,4.2,6.1,2.5,3.5,1.7,2.7,41.8,44.4,40.0,39.8,37.3,37.9,35.8,35.8,34.4,34.1,34.7,33.5,34.0,34.6,30.5,30.1,32.2,31.2,33.5,31.8,33.1,31.8,33.6,32.1,14.2,15.0,14.9,15.3,14.9,15.3,19.8,19.3,20.4,20.0,20.0,19.6,5.8,0.3,26.0,25.91,24.12,1.05,1580.5,19.6,0.07,Acidic_Organic
36.8,47.7,13.9,32.6,10.9,19.1,11.2,21.2,10.8,20.6,10.8,20.6,7.0,10.9,7.0,11.8,6.0,11.6,7.0,11.6,5.0,12.4,6.0,15.1,9.1,15.5,9.2,14.3,10.0,15.4,11.4,17.7,14.9,20.6,13.2,19.0,71.1,66.2,31.3,39.2,11.6,24.0,5.3,10.1,3.9,7.7,2.8,3.4,4.9,5.2,5.2,5.4,5.4,5.4,5.4,5.6,5.7,5.9,5.8,6.0,50.2,47.5,51.2,49.0,50.0,47.9,46.9,46.0,47.3,45.3,48.3,45.7,31.8,37.0,32.0,36.7,31.8,36.7,32.7,36.3,30.8,34.1,31.8,35.3,67.3,143.6,34.6,94.4,7.8,48.5,3.1,38.0,3.0,33.0,2.5,36.5,63.7,62.5,47.6,51.9,39.8,40.6,36.7,38.4,33.2,34.9,32.4,33.6,47.8,45.9,38.3,39.2,32.9,32.7,31.4,31.6,27.8,29.1,26.7,26.8,11.7,11.6,10.9,11.6,9.2,9.6,9.0,9.7,10.0,10.1,10.2,10.6,2.2,0.4,85.38,31.52,47.51,3.06,6849.72,34.3,0.38,Acidic_Organic
25.8,34.9,24.4,31.7,23.6,30.8,19.1,29.5,14.8,24.4,14.8,25.3,6.5,11.8,9.0,14.3,10.0,15.2,11.5,17.3,17.0,20.2,20.0,22.4,10.6,16.8,10.1,15.3,9.0,14.7,8.8,14.6,8.8,15.3,8.3,15.8,57.8,62.5,40.2,53.6,33.8,45.2,20.4,26.0,5.1,13.1,4.2,9.2,4.6,4.8,4.6,4.9,4.6,4.9,4.8,4.9,4.8,5.0,4.8,5.0,50.5,49.7,51.7,50.2,53.1,53.3,55.4,55.1,55.9,55.1,55.1,54.8,31.1,33.5,32.0,34.5,28.3,31.9,27.2,30.3,24.1,29.6,24.3,29.4,110.7,189.8,73.7,156.0,48.2,114.2,26.8,86.9,13.3,71.6,11.8,73.5,46.1,43.9,42.9,42.2,44.8,42.8,40.8,39.6,38.6,37.6,35.8,34.0,34.3,36.7,35.7,36.4,35.9,35.8,34.5,35.3,33.4,34.0,30.6,29.1,15.9,15.8,16.2,16.4,13.9,14.9,11.0,12.6,11.3,12.4,10.5,12.0,-2.2,0.1,138.98,31.42,51.9,2.96,6624.02,20.9,0.11,Acidic_Organic
26.4,33.7,18.9,23.6,20.2,24.7,16.8,21.1,16.4,20.0,14.2,19.4,13.3,18.0,17.5,21.2,19.0,21.8,15.7,19.8,16.5,21.1,15.0,21.2,16.8,24.7,16.7,24.9,15.5,23.5,15.3,24.4,12.7,23.7,10.7,21.1,66.6,66.7,35.6,45.2,28.6,32.5,7.3,16.3,4.1,10.0,2.8,8.0,5.0,5.2,5.2,5.4,5.3,5.4,5.3,5.5,5.4,5.7,5.5,5.8,37.9,35.5,38.5,35.4,38.6,36.1,36.7,34.8,33.6,34.1,32.4,32.9,36.7,39.8,37.6,39.6,36.8,40.4,36.7,40.8,38.1,42.2,45.7,46.0,69.5,109.5,50.9,77.6,24.1,49.2,10.2,17.8,7.0,12.3,5.9,10.7,44.1,44.3,41.6,41.5,40.4,40.6,38.1,37.7,37.0,36.7,36.4,35.4,34.7,35.9,34.5,35.2,35.5,35.5,31.7,33.3,29.9,31.0,30.6,30.8,18.0,18.5,17.5,18.3,16.7,16.9,14.5,15.4,13.7,15.2,13.9,15.3,-0.3,0.3,65.99,26.12,35.35,1.44,3690.15,17.4,0.2,Acidic_Organic
14.0,24.6,14.1,17.8,11.4,15.0,11.4,16.2,11.4,16.0,11.0,15.5,4.0,4.8,4.0,5.4,3.0,5.0,3.0,5.2,3.0,5.7,3.0,6.8,4.1,7.4,4.0,5.9,4.8,13.2,6.1,15.6,7.3,17.8,8.4,18.3,33.0,34.8,13.5,16.8,12.2,17.5,8.6,9.7,5.1,6.4,2.9,3.5,5.4,5.5,5.4,5.4,5.6,5.8,6.0,6.0,6.2,6.3,6.3,6.3,73.7,67.1,74.2,68.7,70.9,62.5,68.9,60.0,65.6,59.0,63.6,58.7,19.9,25.5,20.4,25.5,19.9,24.3,19.4,24.4,17.8,23.2,17.4,22.9,21.4,63.6,13.6,19.8,9.9,16.2,3.2,10.9,2.0,5.6,1.7,5.5,51.2,50.3,40.2,40.1,35.6,36.3,34.7,34.6,33.4,32.9,32.8,32.5,38.8,37.9,34.7,34.3,33.2,32.4,31.7,30.5,32.2,30.7,32.4,30.7,6.5,7.9,6.0,7.6,6.3,8.1,11.1,12.3,11.0,12.4,11.2,12.8,8.2,0.5,29.46,18.86,64.7,9.07,1564.56,30.0,0.19,Acidic_Organic
31.4,45.5,14.2,26.6,13.3,19.1,12.8,17.2,11.6,15.5,11.3,15.3,12.0,13.0,13.0,15.0,13.0,16.5,15.0,20.3,20.0,20.8,19.5,21.5,3.2,6.7,2.9,5.8,3.3,7.5,3.0,7.3,2.9,7.8,2.8,8.8,70.5,65.3,31.1,42.0,24.8,32.4,7.9,16.6,4.7,11.2,3.7,10.7,4.6,4.7,4.7,4.8,5.0,5.1,5.5,5.6,5.6,5.8,5.7,5.8,66.7,63.9,67.4,64.0,67.9,64.1,68.3,64.7,67.6,64.0,67.1,62.0,27.2,29.4,28.2,30.1,25.6,28.4,24.5,28.0,24.7,28.2,24.5,29.1,111.0,208.2,57.4,139.4,21.9,65.1,8.1,40.5,5.0,32.6,5.0,34.3,67.7,63.3,44.1,46.3,38.2,38.0,35.4,35.4,35.8,35.3,34.4,34.3,46.8,44.5,39.0,39.5,33.3,33.0,29.6,28.7,28.3,28.9,28.4,28.6,11.6,12.4,11.5,12.2,10.9,11.7,10.3,12.2,11.0,12.7,11.0,12.7,0.6,0.9,119.66,28.25,64.09,9.54,9473.1,32.1,0.45,Acidic_Organic
20.6,26.4,21.8,25.9,20.8,25.0,23.8,25.8,23.6,25.7,21.2,23.3,2.0,7.9,1.5,10.3,2.0,10.1,2.0,11.7,3.0,12.6,3.6,13.8,20.5,27.6,19.2,27.3,23.4,30.1,26.8,34.0,26.5,33.1,25.7,33.6,37.6,43.7,22.6,25.8,16.8,21.1,9.7,13.0,5.5,7.8,3.5,5.3,5.6,5.8,5.6,5.8,5.7,5.9,5.6,5.9,6.0,6.3,6.6,6.7,31.5,32.5,30.6,32.1,25.9,29.0,22.0,27.7,22.6,28.8,23.6,29.3,34.3,39.8,34.6,40.5,34.5,40.9,32.0,38.3,32.5,38.1,31.7,37.1,41.3,64.9,18.7,24.4,12.2,16.4,5.2,8.3,3.0,4.8,2.8,4.3,38.9,38.2,38.0,36.8,37.5,36.7,37.4,36.3,35.0,34.4,34.5,34.0,33.3,32.9,32.6,32.4,33.7,32.4,33.9,32.5,33.1,31.4,31.3,30.7,14.8,15.5,14.9,15.4,14.8,15.5,22.3,21.3,21.6,21.4,21.5,21.0,6.4,0.1,30.58,25.84,30.61,1.18,1713.36,17.4,0.02,Acidic_Organic
21.7,29.7,19.2,22.3,16.2,20.5,15.1,19.7,12.8,18.6,14.1,19.1,11.2,13.4,12.0,15.1,12.0,14.3,10.0,14.3,10.0,15.4,10.0,17.3,18.2,24.8,19.3,25.6,22.7,27.6,27.0,30.7,29.3,32.9,32.5,35.2,67.0,64.2,41.0,52.8,34.3,42.9,14.6,24.2,6.9,13.4,3.0,9.8,5.8,5.9,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.2,6.3,27.6,29.7,26.6,28.8,25.6,27.9,25.0,26.7,24.6,27.2,24.8,27.5,44.3,45.6,45.0,45.5,44.1,44.5,42.0,42.5,38.5,39.9,36.7,37.3,69.6,113.0,50.8,73.2,29.0,36.7,13.3,31.7,7.0,18.5,4.7,15.3,42.7,42.0,42.1,41.7,42.4,41.4,40.3,39.6,38.1,37.0,38.1,35.9,37.9,36.8,37.9,36.5,37.1,35.9,35.7,35.3,34.9,34.9,34.2,34.5,19.6,20.5,19.4,20.5,19.8,20.7,23.5,23.1,26.0,23.8,26.0,24.1,5.9,0.4,66.14,23.4,28.41,1.2,3356.1,16.3,0.18,Acidic_Organic
16.1,21.6,14.4,20.8,12.0,18.6,10.7,16.9,10.8,17.0,10.0,16.6,1.0,8.2,1.0,8.3,1.0,8.4,1.0,11.1,1.0,12.1,1.0,12.8,29.5,34.6,27.7,34.5,32.3,35.1,39.7,41.7,37.6,40.7,39.2,41.4,41.4,52.4,36.1,42.8,31.5,35.8,12.4,24.1,6.0,10.9,3.7,8.6,4.9,4.9,4.8,4.9,4.9,4.9,5.0,5.1,5.1,5.1,5.1,5.2,35.8,35.7,35.6,34.8,34.0,35.1,30.4,31.3,30.1,30.9,30.3,30.8,22.1,29.8,22.3,30.7,23.1,29.8,19.9,27.0,22.2,28.4,20.3,27.8,45.6,75.1,33.0,62.5,19.4,36.4,10.0,20.8,6.0,12.8,5.0,11.3,41.9,43.2,41.8,43.1,41.0,42.0,40.4,41.7,40.2,41.6,38.8,39.6,35.6,34.3,35.7,34.4,35.7,34.5,35.0,34.4,34.6,34.3,36.1,35.5,19.3,20.3,19.4,20.0,20.0,20.4,20.9,21.8,20.9,21.0,19.9,21.1,7.1,0.2,49.84,19.64,34.22,1.03,1622.16,14.0,0.1,Acidic_Organic
21.2,34.4,11.2,19.0,8.3,16.7,7.5,15.2,7.0,13.9,7.4,13.4,5.0,6.4,6.0,7.6,4.0,7.6,4.0,7.9,4.0,8.5,4.0,9.2,10.2,17.2,10.1,16.6,10.2,19.6,10.6,22.6,10.4,22.4,10.4,21.9,35.9,46.2,17.0,27.0,13.8,21.2,5.3,10.9,4.0,8.8,2.4,5.1,6.1,6.0,6.3,6.1,6.2,6.1,6.1,6.1,6.3,6.2,6.3,6.3,58.7,53.6,59.0,55.1,58.2,52.6,57.4,50.8,57.4,50.9,58.6,54.9,25.9,29.2,26.0,28.3,25.3,27.8,24.0,26.6,22.7,26.7,19.3,23.3,37.0,117.1,17.8,47.3,6.7,58.1,4.0,53.1,2.0,46.9,2.0,41.6,59.6,59.8,45.6,48.6,38.6,40.2,36.4,38.2,34.5,36.2,33.8,33.6,46.7,43.0,35.3,35.8,32.9,33.1,31.6,32.3,30.2,30.8,27.8,27.9,10.7,11.4,10.5,11.2,9.3,9.2,6.8,9.4,6.0,8.9,5.3,8.3,5.4,0.1,71.23,22.08,53.09,3.12,4028.24,31.6,0.38,Acidic_Organic
